CustomerId,Surname,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15634602,Hargrave,FRA,Female,42.0,2,0.0,1,Yes,Yes,101348.88,1
15647311,Hill,Spain,Female,41.0,1,83807.86,1,Yes,Yes,112542.58,0
15619304,Onio,French,Female,42.0,8,159660.8,3,No,No,113931.57,1
15701354,Boni,FRA,Female,39.0,1,0.0,2,No,No,93826.63,0
15737888,Mitchell,Spain,Female,43.0,2,125510.82,1,Yes,Yes,79084.1,0
15574012,Chu,Spain,Male,44.0,8,113755.78,2,No,No,149756.71,1
15592531,Bartlett,France,Male,50.0,7,0.0,2,Yes,Yes,10062.8,0
15656148,Obinna,Germany,Female,29.0,4,115046.74,4,No,No,119346.88,1
15792365,He,French,Male,44.0,4,142051.07,2,Yes,Yes,74940.5,0
15592389,H?,France,Male,27.0,2,134603.88,1,Yes,Yes,71725.73,0
15767821,Bearce,French,Male,31.0,6,102016.72,2,No,No,80181.12,0
15737173,Andrews,Spain,Male,24.0,3,0.0,2,No,No,76390.01,0
15632264,Kay,FRA,Female,34.0,10,0.0,2,No,No,26260.98,0
15691483,Chin,France,Female,25.0,5,0.0,2,No,No,190857.79,0
15600882,Scott,Spain,Female,35.0,7,0.0,2,Yes,Yes,65951.65,0
15643966,Goforth,Germany,Male,45.0,3,143129.41,2,Yes,Yes,64327.26,0
15737452,Romeo,Germany,Male,58.0,1,132602.88,1,No,No,5097.67,1
15788218,Henderson,Spain,Female,24.0,9,0.0,2,Yes,Yes,14406.41,0
15661507,Muldrow,Spain,Male,45.0,6,0.0,1,No,No,158684.81,0
15568982,Hao,French,Female,24.0,6,0.0,2,Yes,Yes,54724.03,0
15577657,McDonald,French,Male,41.0,8,0.0,2,Yes,Yes,170886.17,0
15597945,Dellucci,Spain,Female,32.0,8,0.0,2,No,No,138555.46,0
15699309,Gerasimov,Spain,Female,38.0,4,0.0,1,No,No,118913.53,1
15725737,Mosman,France,Male,46.0,3,0.0,2,Yes,Yes,8487.75,0
15625047,Yen,FRA,Female,38.0,5,0.0,1,Yes,Yes,187616.16,0
15738191,Maclean,France,Male,25.0,3,0.0,2,Yes,Yes,124508.29,0
15736816,Young,Germany,Male,36.0,2,136815.64,1,Yes,Yes,170041.95,0
15700772,Nebechi,FRA,Male,44.0,9,0.0,2,No,No,38433.35,0
15728693,,Germany,Female,,3,141349.43,1,Yes,Yes,-999999.0,0
15656300,Lucciano,French,Male,29.0,0,59697.17,2,Yes,Yes,53483.21,0
15589475,Azikiwe,Spain,Female,39.0,3,0.0,3,No,No,140469.38,1
15706552,Odinakachukwu,France,Male,36.0,7,85311.7,1,Yes,Yes,156731.91,0
15750181,Sanderson,Germany,Male,41.0,9,110112.54,2,No,No,81898.81,0
15659428,Maggard,Spain,Female,42.0,6,0.0,2,Yes,Yes,34410.55,0
15732963,Clements,Spain,Female,29.0,9,0.0,2,Yes,Yes,142033.07,0
15794171,Lombardo,France,Female,45.0,0,134264.04,1,No,No,27822.99,1
15788448,Watson,Spain,Male,31.0,3,145260.23,1,Yes,Yes,114066.77,0
15729599,Lorenzo,Spain,Male,33.0,7,76548.6,1,Yes,Yes,98453.45,0
15717426,Armstrong,French,Male,36.0,7,0.0,1,Yes,Yes,40812.9,0
15585768,Cameron,Germany,Male,41.0,6,70349.48,2,Yes,Yes,178074.04,0
15619360,Hsiao,Spain,Male,40.0,4,0.0,1,No,No,70154.22,0
15738148,Clarke,FRA,Female,51.0,8,122522.32,1,No,No,181297.65,1
15687946,Osborne,FRA,Female,61.0,2,117419.35,1,Yes,Yes,94153.83,0
15755196,Lavine,FRA,Female,49.0,2,131394.56,1,No,No,194365.76,1
15684171,Bianchi,Spain,Female,61.0,5,155931.11,1,Yes,Yes,158338.39,0
15754849,Tyler,Germany,Female,32.0,4,109421.13,2,Yes,Yes,126517.46,0
15602280,Martin,Germany,Female,27.0,9,112045.67,1,Yes,Yes,119708.21,1
15771573,Okagbue,Germany,Female,39.0,9,137843.8,1,Yes,Yes,117622.8,1
15766205,Yin,Germany,Male,38.0,2,103391.38,1,Yes,Yes,90878.13,0
15771873,Buccho,Germany,Female,37.0,2,103769.22,2,No,No,194099.12,0
15616550,Chidiebele,Germany,Male,44.0,10,116363.37,2,No,No,198059.16,0
15768193,Trevisani,Germany,Male,36.0,5,146050.97,2,No,No,86424.57,0
15683553,O'Brien,FRA,Female,33.0,5,0.0,2,No,No,116978.19,0
15702298,Parkhill,Germany,Male,41.0,8,125561.97,1,No,No,164040.94,1
15569590,Yoo,Germany,Male,42.0,1,98495.72,1,No,No,40014.76,1
15760861,Phillipps,French,Male,43.0,1,125211.92,1,Yes,Yes,113410.49,0
15630053,Tsao,France,Male,45.0,5,127864.4,1,No,No,87107.57,0
15647091,Endrizzi,Germany,Male,19.0,0,75888.2,1,No,No,45613.75,0
15623944,T'ien,Spain,Female,66.0,4,0.0,1,No,No,1643.11,1
15804771,Velazquez,FRA,Male,51.0,4,40685.92,1,Yes,Yes,46775.28,0
15651280,Hunter,Germany,Male,35.0,5,136857.0,1,No,No,84509.57,0
15773469,Clark,Germany,Female,27.0,9,152328.88,2,No,No,126494.82,0
15702014,Jeffrey,Spain,Male,33.0,1,56084.69,2,No,No,178798.13,0
15751208,Pirozzi,Spain,Male,56.0,8,78707.16,1,Yes,Yes,99398.36,0
15592461,Jackson,Germany,Male,26.0,4,109166.37,1,Yes,Yes,92840.67,0
15789484,Hammond,Germany,Female,36.0,6,169831.46,2,Yes,Yes,27758.36,0
15696061,Brownless,Germany,Female,34.0,1,101633.04,1,No,No,110431.51,0
15641582,Chibugo,Germany,Male,43.0,10,123180.01,2,Yes,Yes,196673.28,0
15638424,Glauert,Germany,Female,35.0,5,150725.53,2,Yes,Yes,113656.85,0
15755648,Pisano,FRA,Female,21.0,8,98373.26,1,No,No,18203.0,0
15703793,Konovalova,Germany,Male,58.0,2,133745.44,4,No,No,28373.86,1
15620344,McKee,France,Male,29.0,6,0.0,1,No,No,33953.87,0
15812518,Palermo,Spain,Female,37.0,0,163607.18,1,Yes,Yes,44203.55,0
15779052,Ballard,Germany,Female,25.0,5,157780.84,2,Yes,Yes,58426.81,0
15770811,Wallace,FRA,Male,36.0,9,0.0,2,Yes,Yes,145562.4,0
15780961,Cavenagh,France,Female,21.0,1,178718.19,2,No,No,22388.0,0
15614049,Hu,FRA,Male,55.0,8,0.0,2,Yes,Yes,139161.64,0
15662085,Read,FRA,Female,32.0,9,0.0,1,Yes,Yes,148210.64,0
15575185,Bushell,Spain,Male,33.0,5,77253.22,1,Yes,Yes,194239.63,0
15803136,Postle,Germany,Female,41.0,10,122189.66,2,No,No,98301.61,0
15706021,Buley,France,Female,34.0,1,96645.54,2,No,No,171413.66,0
15663706,Leonard,France,Female,32.0,2,0.0,1,No,No,136458.19,1
15641732,Mills,France,Female,36.0,3,0.0,2,No,No,26019.59,0
15701164,Onyeorulu,FRA,Female,34.0,4,90307.62,1,Yes,Yes,159235.29,0
15738751,Beit,France,Female,46.0,4,0.0,2,No,No,1907.66,0
15805254,Ndukaku,Spain,Female,75.0,10,0.0,2,Yes,Yes,114675.75,0
15762418,Gant,Spain,Male,22.0,3,121681.82,1,No,No,128643.35,1
15625759,Rowley,France,Male,30.0,9,0.0,2,No,No,151869.35,0
15622897,Sharpe,French,Female,46.0,4,0.0,3,No,No,93251.42,1
15767954,Osborne,Germany,Female,28.0,3,81623.67,2,Yes,Yes,156791.36,0
15757535,Heap,Spain,Female,44.0,5,0.0,3,Yes,Yes,174205.22,1
15731511,Ritchie,France,Male,45.0,7,118626.55,2,No,No,147132.46,0
15809248,Cole,FRA,Female,36.0,10,0.0,2,No,No,109614.57,0
15640635,Capon,FRA,Male,29.0,8,0.0,2,Yes,Yes,172290.61,0
15676966,Capon,Spain,Male,42.0,4,0.0,2,Yes,Yes,85982.47,0
15699461,Fiorentini,Spain,Male,35.0,10,176273.95,1,Yes,Yes,121277.78,0
15738721,Graham,Spain,Male,41.0,9,102827.44,1,Yes,Yes,64595.25,0
15693683,Yuille,Germany,Male,29.0,8,97086.4,2,Yes,Yes,197276.13,0
15604348,Allard,Spain,Male,22.0,8,0.0,2,No,No,99645.04,0
15633059,Fanucci,France,Male,34.0,9,0.0,2,No,No,6534.18,0
15808582,Fu,FRA,Female,40.0,6,0.0,1,Yes,Yes,161848.03,0
15743192,Hung,French,Female,44.0,6,0.0,2,No,No,167162.43,0
15580146,Hung,France,Male,31.0,9,82674.15,1,No,No,41970.72,0
15776605,Bradley,Spain,Male,36.0,7,0.0,2,No,No,60536.56,0
15804919,Dunbabin,Spain,Female,65.0,1,0.0,1,Yes,Yes,177655.68,1
15613854,Mauldon,Spain,Female,46.0,4,107073.27,2,Yes,Yes,30984.59,1
15599195,Stiger,Germany,Male,32.0,1,88938.62,1,Yes,Yes,10054.53,0
15812878,Parsons,Germany,Female,36.0,2,99806.85,1,Yes,Yes,36976.52,0
15602312,Walkom,Spain,Male,33.0,5,150092.8,1,No,No,71862.79,0
15744689,T'ang,Germany,Male,35.0,9,92833.89,1,No,No,99449.86,1
15803526,Eremenko,Germany,Male,30.0,3,90536.81,1,Yes,Yes,63082.88,0
15665790,Rowntree,Germany,Male,39.0,7,108055.1,2,No,No,27231.26,0
15715951,Thorpe,France,Male,42.0,2,100238.35,1,No,No,86797.41,0
15591100,Chiemela,Spain,Male,36.0,9,106190.55,1,Yes,Yes,22994.32,0
