CustomerId,Surname,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15634602,Hargrave,FRA,Female,42.0,2,€0.00,1,Yes,Yes,"€101,348.88",1
15634602,Hargrave,FRA,Female,42.0,2,€0.00,1,Yes,Yes,"€101,348.88",1
15647311,Hill,Spain,Female,41.0,1,"€83,807.86",1,Yes,Yes,"€112,542.58",0
15619304,Onio,French,Female,42.0,8,"€159,660.80",3,No,No,"€113,931.57",1
15701354,Boni,FRA,Female,39.0,1,€0.00,2,No,No,"€93,826.63",0
15737888,Mitchell,Spain,Female,43.0,2,"€125,510.82",1,Yes,Yes,"€79,084.10",0
15574012,Chu,Spain,Male,44.0,8,"€113,755.78",2,No,No,"€149,756.71",1
15592531,Bartlett,France,Male,50.0,7,€0.00,2,Yes,Yes,"€10,062.80",0
15656148,Obinna,Germany,Female,29.0,4,"€115,046.74",4,No,No,"€119,346.88",1
15792365,He,French,Male,44.0,4,"€142,051.07",2,Yes,Yes,"€74,940.50",0
15592389,H?,France,Male,27.0,2,"€134,603.88",1,Yes,Yes,"€71,725.73",0
15767821,Bearce,French,Male,31.0,6,"€102,016.72",2,No,No,"€80,181.12",0
15737173,Andrews,Spain,Male,24.0,3,€0.00,2,No,No,"€76,390.01",0
15632264,Kay,FRA,Female,34.0,10,€0.00,2,No,No,"€26,260.98",0
15691483,Chin,France,Female,25.0,5,€0.00,2,No,No,"€190,857.79",0
15600882,Scott,Spain,Female,35.0,7,€0.00,2,Yes,Yes,"€65,951.65",0
15643966,Goforth,Germany,Male,45.0,3,"€143,129.41",2,Yes,Yes,"€64,327.26",0
15737452,Romeo,Germany,Male,58.0,1,"€132,602.88",1,No,No,"€5,097.67",1
15788218,Henderson,Spain,Female,24.0,9,€0.00,2,Yes,Yes,"€14,406.41",0
15661507,Muldrow,Spain,Male,45.0,6,€0.00,1,No,No,"€158,684.81",0
15568982,Hao,French,Female,24.0,6,€0.00,2,Yes,Yes,"€54,724.03",0
15577657,McDonald,French,Male,41.0,8,€0.00,2,Yes,Yes,"€170,886.17",0
15597945,Dellucci,Spain,Female,32.0,8,€0.00,2,No,No,"€138,555.46",0
15699309,Gerasimov,Spain,Female,38.0,4,€0.00,1,No,No,"€118,913.53",1
15725737,Mosman,France,Male,46.0,3,€0.00,2,Yes,Yes,"€8,487.75",0
15625047,Yen,FRA,Female,38.0,5,€0.00,1,Yes,Yes,"€187,616.16",0
15738191,Maclean,France,Male,25.0,3,€0.00,2,Yes,Yes,"€124,508.29",0
15736816,Young,Germany,Male,36.0,2,"€136,815.64",1,Yes,Yes,"€170,041.95",0
15700772,Nebechi,FRA,Male,44.0,9,€0.00,2,No,No,"€38,433.35",0
15728693,,Germany,Female,,3,"€141,349.43",1,Yes,Yes,"-€999,999",0
15656300,Lucciano,French,Male,29.0,0,"€59,697.17",2,Yes,Yes,"€53,483.21",0
15589475,Azikiwe,Spain,Female,39.0,3,€0.00,3,No,No,"€140,469.38",1
15706552,Odinakachukwu,France,Male,36.0,7,"€85,311.70",1,Yes,Yes,"€156,731.91",0
15750181,Sanderson,Germany,Male,41.0,9,"€110,112.54",2,No,No,"€81,898.81",0
15659428,Maggard,Spain,Female,42.0,6,€0.00,2,Yes,Yes,"€34,410.55",0
15732963,Clements,Spain,Female,29.0,9,€0.00,2,Yes,Yes,"€142,033.07",0
15794171,Lombardo,France,Female,45.0,0,"€134,264.04",1,No,No,"€27,822.99",1
15788448,Watson,Spain,Male,31.0,3,"€145,260.23",1,Yes,Yes,"€114,066.77",0
15729599,Lorenzo,Spain,Male,33.0,7,"€76,548.60",1,Yes,Yes,"€98,453.45",0
15717426,Armstrong,French,Male,36.0,7,€0.00,1,Yes,Yes,"€40,812.90",0
15585768,Cameron,Germany,Male,41.0,6,"€70,349.48",2,Yes,Yes,"€178,074.04",0
15619360,Hsiao,Spain,Male,40.0,4,€0.00,1,No,No,"€70,154.22",0
15738148,Clarke,FRA,Female,51.0,8,"€122,522.32",1,No,No,"€181,297.65",1
15687946,Osborne,FRA,Female,61.0,2,"€117,419.35",1,Yes,Yes,"€94,153.83",0
15755196,Lavine,FRA,Female,49.0,2,"€131,394.56",1,No,No,"€194,365.76",1
15684171,Bianchi,Spain,Female,61.0,5,"€155,931.11",1,Yes,Yes,"€158,338.39",0
15754849,Tyler,Germany,Female,32.0,4,"€109,421.13",2,Yes,Yes,"€126,517.46",0
15602280,Martin,Germany,Female,27.0,9,"€112,045.67",1,Yes,Yes,"€119,708.21",1
15771573,Okagbue,Germany,Female,39.0,9,"€137,843.80",1,Yes,Yes,"€117,622.80",1
15766205,Yin,Germany,Male,38.0,2,"€103,391.38",1,Yes,Yes,"€90,878.13",0
15771873,Buccho,Germany,Female,37.0,2,"€103,769.22",2,No,No,"€194,099.12",0
15616550,Chidiebele,Germany,Male,44.0,10,"€116,363.37",2,No,No,"€198,059.16",0
15768193,Trevisani,Germany,Male,36.0,5,"€146,050.97",2,No,No,"€86,424.57",0
15683553,O'Brien,FRA,Female,33.0,5,€0.00,2,No,No,"€116,978.19",0
15702298,Parkhill,Germany,Male,41.0,8,"€125,561.97",1,No,No,"€164,040.94",1
15569590,Yoo,Germany,Male,42.0,1,"€98,495.72",1,No,No,"€40,014.76",1
15760861,Phillipps,French,Male,43.0,1,"€125,211.92",1,Yes,Yes,"€113,410.49",0
15630053,Tsao,France,Male,45.0,5,"€127,864.40",1,No,No,"€87,107.57",0
